Word,Class,Cluster_New
Lubrication,3,5
Fluidity,3,5
Gaseity,3,5
Liquefaction,3,5
Vaporization,3,5
Water,3,5
Air,3,5
Moisture,3,5
Dryness,3,5
Ocean,3,10
Land,3,10
"Gulf, Lake",3,10
Plain,3,10
Marsh,3,10
Island,3,10
Stream,3,6
River,3,6
Wind,3,6
Conduit,3,10
Airpipe,3,11
Semiliquidity,3,5
Bubble,3,5
Pulpiness,3,5
Unctuousness,3,5
Oil,3,5
Resin,3,5
Organization,3,17
Inorganization,3,5
Life,3,6
Death,3,22
Killing,3,22
Corpse,3,10
Interment,3,10
Animality,3,20
Vegetability†,3,5
Animal,3,0
Vegetable,3,10
Zoology,3,17
Botany,3,17
Husbandry,3,10
Agriculture,3,10
Mankind,3,8
Man,3,0
Woman,3,0
Sexuality,3,20
Physical Sensibility,3,20
Physical Insensibility,3,16
Physical Pleasure,3,20
Physical Pain,3,16
Touch,3,11
Sensations of Touch,3,16
Numbness,3,16
Heat,3,5
Cold,3,5
Calefaction,3,5
Refrigeration,3,5
Furnace,3,10
Refrigerator,3,10
Fuel,3,5
Insulation,3,5
Thermometer,3,5
Taste,3,20
Taste,3,20
Insipidity,3,16
Pungency,3,5
Saltiness,3,5
Bitterness,3,5
Condiment,3,7
Savoriness,3,20
Unsavoriness,3,16
Sweetness,3,7
Sourness,3,5
Odor,3,5
Inodorousness,3,5
Fragrance,3,7
Fetor,3,5
Acridity,3,5
Sound,3,13
Silence,3,13
Loudness,3,13
Faintness,3,13
Snap,3,6
Roll,3,13
Resonance,3,13
Nonresonance†,3,13
Sibilation,3,13
Stridor,3,13
Cry,3,13
Ululation,3,13
"Melody, Concord",3,13
Discord,3,22
Discord,3,22
Music,3,13
Musician,3,13
Musical Instruments,3,13
Hearing,3,13
Deafness,3,13
Light,3,2
Darkness,3,2
Dimness,3,2
Luminary,3,2
Shade,3,2
Transparency,3,7
Opacity,3,2
Turbidity,3,5
Semitransparency,3,7
Color,3,7
Achromatism,3,7
Whiteness,3,7
Blackness,3,7
Gray,3,7
Brown,3,7
Redness,3,7
Greenness,3,7
Yellowness,3,7
Purple,3,7
Blueness,3,7
Orange,3,7
Variegation,3,7
Vision,3,2
Blindness,3,2
Dimsightedness,3,2
Spectator,3,3
Optical Instruments,3,2
Visibility,3,8
Invisibility,3,2
Appearance,3,1
Disappearance,3,23
Intellect,4,20
Absence or want of Intellect,4,19
Thought,4,20
Incogitancy,4,19
Idea,4,1
Topic,4,1
Curiosity,4,20
Incuriosity,4,16
Attention,4,8
Inattention,4,16
Care,4,14
Neglect,4,19
Inquiry,4,9
Answer,4,9
Experiment,4,1
Comparison,4,18
Incomparability,4,18
Discrimination,4,9
Indiscrimination,4,19
Identification,4,9
Measurement,4,1
Evidence,4,9
Counter Evidence,4,9
Qualification,4,8
Possibility,4,8
Impossibility,4,19
Probability,4,8
Improbability,4,19
Certainty,4,9
Uncertainty,4,19
"Reasoning ,",4,9
"Intuition , , Sophistry",4,19
Demonstration,4,9
Confutation,4,9
Judgment,4,9
Discovery,4,9
Misjudgment,4,19
Overestimation,4,19
Underestimation,4,19
Belief,4,9
"Unbelief, Doubt",4,19
Credulity,4,19
Incredulity,4,21
Assent,4,9
Dissent,4,22
Knowledge,4,9
Ignorance,4,19
Scholar,4,3
Ignoramus,4,0
Truth,4,20
Error,4,19
Maxim,4,1
Absurdity,4,19
"Intelligence , Wisdom",4,20
"Imbecility, Folly",4,19
Sage,4,0
Fool,4,0
Sanity,4,20
